date,a2c,ppo,tdr,dji
2023-01-03,1000000.0,1000000.0,1000000.0,1000000.0
2023-01-04,1000773.363750084,1000163.3675528927,1002001.35309906,1004025.7406920807
2023-01-05,999537.1602491264,999815.2434648618,1001183.4397216797,993774.424840718
2023-01-06,1002704.6273677748,1000712.8961241397,1007210.8478492737,1014915.2808511135
2023-01-09,1005771.1026300505,1001531.5502114638,1008381.5824943541,1011506.309567553
2023-01-10,1006760.2333107451,1001762.278178108,1009340.5253143309,1017133.1515796877
2023-01-11,1013537.4660247839,1003549.252826249,1014729.9268241881,1025248.4082409919
2023-01-12,1015180.6507780072,1003639.7454487933,1024312.3167564392,1031795.8068875177
2023-01-13,1018136.6986897656,1004270.7394313486,1024118.8680747985,1035195.1116780549
2023-01-17,1024436.0904590909,1006338.8849059904,1029833.2587165833,1023372.5191741372
2023-01-18,1018664.674977119,1005274.5397759303,1021144.9382751465,1004846.3316425222
2023-01-19,1013163.4949588542,1004462.8316291218,1020284.5951927186,997229.2530241093
2023-01-20,1027566.6889875407,1008305.4513561459,1039457.0044548034,1007216.1549260626
2023-01-23,1046362.7357370142,1013335.2922595445,1069025.8028800965,1014883.570038634
2023-01-24,1046698.8742624811,1013882.101453167,1074172.021736145,1018034.2573439707
2023-01-25,1048918.4446594613,1013891.3118853321,1075576.1683839418,1018332.3861349012
2023-01-26,1080200.4329076838,1021690.8589639511,1113211.7074159242,1024536.1527428498
2023-01-27,1117621.4952584452,1030892.4311979619,1146591.187167511,1025401.303868448
2023-01-30,1088846.6399644082,1023346.2048388806,1113822.3329042054,1017525.1160833823
2023-01-31,1109040.4054623484,1028095.2023499204,1134238.5308106996,1028659.3835535938
2023-02-01,1133166.6366229167,1033803.2936148397,1158022.1283143617,1028868.2741101491
2023-02-02,1168937.5116634364,1044553.6678433152,1226812.0951112367,1027690.7302222081
2023-02-03,1155243.2107042994,1044868.9176347809,1222898.5196717835,1023830.0272158931
2023-02-06,1161523.8281726679,1044392.8321727371,1225462.4860871888,1022774.0217951124
2023-02-07,1174662.8483156504,1048588.6528203906,1254504.6246217347,1030791.5525696309
2023-02-08,1176601.5017142405,1047591.8149830608,1243683.2049592591,1024524.1285686011
2023-02-09,1184353.8770149606,1049351.646174509,1238920.4749940492,1017005.7189094638
2023-02-10,1154311.5503062129,1042591.9140356847,1216147.310214386,1022117.6433420085
2023-02-13,1161085.7899058566,1045384.2850551206,1227874.5159028627,1033484.6139491503
2023-02-14,1199076.2966575446,1054895.5782321969,1252884.3547700502,1028756.873672257
2023-02-15,1215913.0054066519,1061516.9276964073,1260693.2687409974,1029927.2266324615
