date,a2c,ppo,tdr,dji
2023-01-03,1000000.0,1000000.0,1000000.0,1000000.0
2023-01-04,1000697.4516144333,1000063.9684348336,1000102.6608594896,1004025.7406920807
2023-01-05,999121.9897399065,999983.0918252756,996770.1101461413,993774.424840718
2023-01-06,1002722.2857712788,1000554.7750345804,1003270.0352182392,1014915.2808511135
2023-01-09,1006152.2860770152,1000551.4374446698,1007911.6884865763,1011506.309567553
2023-01-10,1007012.2262248882,1000804.2101681805,1012798.5465584758,1017133.1515796877
2023-01-11,1014184.9287938696,1001389.8274797517,1027037.0058551793,1025248.4082409919
2023-01-12,1015395.5551648908,1001361.2236800977,1034169.0178078656,1031795.8068875177
2023-01-13,1018899.6495582854,1002463.576757517,1040695.8481295591,1035195.1116780549
2023-01-17,1026623.6129347425,1002178.9083700238,1046045.6363076215,1023372.5191741372
2023-01-18,1018321.9513246121,1000732.9114522419,1029975.3656048474,1004846.3316425222
2023-01-19,1015937.2658842665,1000115.1098779278,1025752.8536343274,997229.2530241093
2023-01-20,1036866.8892030531,1001070.9694084912,1059389.3923840222,1007216.1549260626
2023-01-23,1062209.0501933333,1003042.3073806667,1086329.0088543592,1014883.570038634
2023-01-24,1063001.9479353453,1004015.1693952808,1085397.9237866101,1018034.2573439707
2023-01-25,1061004.8394636274,1004058.991141714,1083338.721142262,1018332.3861349012
2023-01-26,1097189.5359044692,1005329.4605810451,1120981.1385235486,1024536.1527428498
2023-01-27,1134902.8996516843,1006374.8878779544,1150221.5922894177,1025401.303868448
2023-01-30,1098892.243578862,1004308.316568884,1118253.5777630506,1017525.1160833823
2023-01-31,1119777.298189755,1005410.0318677465,1139088.4483914075,1028659.3835535938
2023-02-01,1141584.8203664748,1005916.81076174,1162575.3778118787,1028868.2741101491
2023-02-02,1179655.6512475782,1008399.2679417632,1239351.4410061536,1027690.7302222081
2023-02-03,1184965.7607754027,1011694.3338824942,1223497.4198498426,1023830.0272158931
2023-02-06,1186655.0696046874,1010671.4390261252,1220811.7420391736,1022774.0217951124
2023-02-07,1209939.2461592758,1013764.8915914635,1250611.416996449,1030791.5525696309
2023-02-08,1198599.2727298858,1011337.6297005066,1232853.7139553723,1024524.1285686011
2023-02-09,1194582.4752254684,1008986.0599564537,1220135.5469402967,1017005.7189094638
2023-02-10,1174223.4245179794,1009541.7203506036,1202084.7792019544,1022117.6433420085
2023-02-13,1180599.7866288116,1012841.6747995286,1219031.2752957044,1033484.6139491503
2023-02-14,1206643.4091553772,1013108.3331214166,1235936.4266628919,1028756.873672257
2023-02-15,1222096.3780796858,1015169.5826918473,1243814.879963368,1029927.2266324615
2023-02-16,1189827.8263286941,1011980.9849439684,1208408.4991345105,1016914.3587619863
2023-02-17,1193618.5356462752,1011331.1572513757,1207256.7206310926,1020832.7070742578
2023-02-21,1156804.0464238173,1005335.8352928835,1175507.2497753797,999795.35326965
2023-02-22,1158600.4685850113,1004644.138820086,1176930.918949574,997245.2852564409
2023-02-23,1173248.5276221358,1006808.4250716005,1185970.3606915174,1000529.2994350643
2023-02-24,1161895.6305813033,1005653.6648905245,1166899.1888928113,990359.5593540943
2023-02-27,1180643.8083077972,1008132.854073153,1181294.0468640027,992537.4673859009
2023-02-28,1179483.831456288,1008905.2180608086,1184211.0813030896,985524.3088133307
2023-03-01,1167256.5040709425,1005838.011617373,1170942.5591854749,985679.4442379508
2023-03-02,1157092.212165364,1004837.4146214776,1166641.1700253186,995992.2955692922
2023-03-03,1186248.1742270172,1013269.686910109,1202135.7070507703,1007683.3294608418
2023-03-06,1184045.2684748962,1015050.6815945992,1200699.1396755872,1008904.7262195725
2023-03-07,1157967.468209111,1007315.8378369584,1182351.2009777722,991552.7818221834
2023-03-08,1158178.1791222885,1007868.1223711953,1178854.7247357068,989800.5531355923
2023-03-09,1113693.6078514527,995292.0052301927,1148890.319996327,973397.4575472971
2023-03-10,1115456.9786692245,997237.0612300095,1138866.256992787,962979.3357492493
2023-03-13,1109248.740588597,996214.829825892,1147091.138241261,960248.1978179425
2023-03-14,1136245.4757939652,1003775.2862935433,1187611.1964001355,970395.952521487
2023-03-15,1112881.877337445,995173.9835783448,1190658.6862530408,961920.9726472434
2023-03-16,1137286.3578230941,1002740.6183283372,1227040.8042034802,973146.7181489939
2023-03-17,1114355.6615705155,994339.3914975228,1210974.054470509,961541.0323177975
2023-03-20,1127112.7112897385,999496.4514392266,1212237.2813152967,973087.2456400874
2023-03-21,1151242.0481159026,1007339.3181337266,1246117.83759734,982624.1840802055
2023-03-22,1133054.4220289658,1000153.7157343926,1226852.2480053601,966614.8801985545
2023-03-23,1140522.3482771271,1001332.17218899,1242140.053387135,968882.498000981
2023-03-24,1129709.2580180024,999848.0600403541,1241493.5684933362,972874.4649095105
2023-03-27,1141542.051641568,1002955.9017026009,1235435.7645077405,978745.6805806402
2023-03-28,1138965.581492543,1002665.1957200532,1226317.3841747937,977604.0323893531
2023-03-29,1153327.7164606904,1007859.7427988076,1249464.0825009046,987362.1802704284
2023-03-30,1159607.9405219466,1009668.172633696,1260518.9830517469,991630.3495344935
2023-03-31,1177246.6348201034,1016420.8695403351,1291006.9598812757,1004157.888724755
2023-04-03,1178939.1970700654,1018156.7614066796,1279045.8944134412,1014026.1992610791
2023-04-04,1169469.4063303496,1013904.0245893693,1277373.8209881482,1008027.6688037869
2023-04-05,1163162.3092110718,1011077.1706686959,1259758.2813000379,1010452.1902917525
2023-04-06,1168799.5438204983,1012307.4228993973,1276697.6320233045,1010529.7580040625
2023-04-10,1172992.3176819028,1009041.528925139,1270169.514362782,1013584.7234516549
2023-04-11,1170764.106310313,1008077.7199956727,1260722.7731289563,1016550.3327808108
