date,a2c,ppo,tdr,dji
2023-01-03,1000000.0,1000000.0,1000000.0,1000000.0
2023-01-04,999190.190567192,999860.214934906,1000794.3343931198,1004025.7406920807
2023-01-05,997315.6059506149,998922.2123048782,997988.3804305077,993774.424840718
2023-01-06,1000247.1942990342,1000083.8003738174,1005523.2665063859,1014915.2808511135
2023-01-09,1001255.203412552,1001689.8912628402,1008176.527001953,1011506.309567553
2023-01-10,1005373.2406817629,1002531.1941450653,1011830.7036712646,1017133.1515796877
2023-01-11,1012783.6511372988,1006699.6093038329,1025232.479017353,1025248.4082409919
2023-01-12,1017468.9123442842,1007434.477514801,1036825.3166490555,1031795.8068875177
2023-01-13,1021815.0918665163,1008867.9333331679,1042124.310726738,1035195.1116780549
2023-01-17,1018500.0872316668,1011211.8397013624,1043971.4063285828,1023372.5191741372
2023-01-18,1008998.4275827334,1007732.7507381971,1028080.2959315472,1004846.3316425222
2023-01-19,1005266.3053153002,1004287.629374954,1021903.6146004773,997229.2530241093
2023-01-20,1023542.0654454043,1012875.3641454008,1050645.428906065,1007216.1549260626
2023-01-23,1033401.7207186283,1019919.670040878,1076025.354785368,1014883.570038634
2023-01-24,1031562.1376759112,1019052.2005054089,1075744.3539758893,1018034.2573439707
2023-01-25,1028889.7545432209,1019542.7169064023,1075229.6248448237,1018332.3861349012
2023-01-26,1053704.8735233538,1035611.5030102001,1109806.8568280926,1024536.1527428498
2023-01-27,1066821.2366302721,1050868.7537230754,1135893.434141447,1025401.303868448
2023-01-30,1044524.2053987277,1037497.6308687588,1106899.8466298808,1017525.1160833823
2023-01-31,1063117.714616791,1048544.5534195094,1128754.4769883098,1028659.3835535938
2023-02-01,1083670.6399888308,1060453.5892218547,1151021.4674484958,1028868.2741101491
2023-02-02,1187242.0590958407,1082910.929713943,1212361.648532175,1027690.7302222081
2023-02-03,1155543.9702591707,1069267.8113790737,1192076.5747940768,1023830.0272158931
2023-02-06,1150154.6179566195,1071351.898260116,1193347.162028574,1022774.0217951124
2023-02-07,1182543.6801743319,1081963.098955543,1224457.3901474704,1030791.5525696309
2023-02-08,1160830.2912583163,1082689.935053123,1210102.217837595,1024524.1285686011
2023-02-09,1139259.725119095,1083151.55133921,1198909.3892395725,1017005.7189094638
2023-02-10,1130526.730070572,1070442.7118161158,1182089.2261994113,1022117.6433420085
2023-02-13,1160995.0355133822,1078633.7481704555,1196826.9744980563,1033484.6139491503
