date,a2c,ppo,td3,dji
2023-01-03,1000000.0,1000000.0,1000000.0,1000000.0
2023-01-04,999418.7580848695,1000202.3889309692,1000803.8479223251,1004025.7406920807
2023-01-05,996321.9093704224,999891.0128171997,997739.3097678184,993774.424840718
2023-01-06,1000436.5229782105,1000817.3420877533,1005902.9733095169,1014915.2808511135
2023-01-09,1004907.3111999511,1001579.6256923219,1008981.1481094358,1011506.309567553
2023-01-10,1006970.6052391052,1001937.2489045716,1012340.745095825,1017133.1515796877
2023-01-11,1020212.6797904968,1003717.4362319947,1026793.7333432196,1025248.4082409919
2023-01-12,1022062.6095863342,1004013.713294464,1038423.9032609938,1031795.8068875177
2023-01-13,1025765.1288162231,1005058.5282776947,1042128.8247571944,1035195.1116780549
2023-01-17,1033308.9988471984,1006535.3119616316,1046903.5436195373,1023372.5191741372
2023-01-18,1024600.9038871764,1004532.4409892578,1033920.1202331656,1004846.3316425222
2023-01-19,1018796.4667404174,1003309.8162095107,1029323.9809452322,997229.2530241093
2023-01-20,1049271.46039505,1007302.2348911361,1060428.5432639616,1007216.1549260626
2023-01-23,1072433.8578842164,1012573.0444250563,1089150.031219265,1014883.570038634
2023-01-24,1069191.1281196594,1013217.0775445555,1089658.385532524,1018034.2573439707
2023-01-25,1064448.9654860229,1013956.0231178892,1087731.0446408347,1018332.3861349012
2023-01-26,1108616.4740462035,1022028.9791239469,1128119.6556910113,1024536.1527428498
2023-01-27,1145449.8971266479,1031060.6398302761,1161064.6660922468,1025401.303868448
2023-01-30,1110158.7022871703,1023474.6481879193,1125766.8786495626,1017525.1160833823
2023-01-31,1136075.2273115844,1028482.9498725507,1149339.4351082877,1028659.3835535938
2023-02-01,1162681.1704268188,1033717.9412227705,1176508.369939907,1028868.2741101491
2023-02-02,1220769.8236708373,1043450.2173988111,1240308.5509263114,1027690.7302222081
2023-02-03,1200804.276093933,1043041.4123615033,1230332.2636033134,1023830.0272158931
2023-02-06,1197005.2114729614,1043814.9236639478,1231909.31653796,1022774.0217951124
2023-02-07,1227181.0667371214,1048080.7242236172,1266218.1205407218,1030791.5525696309
2023-02-08,1213225.4747445984,1047610.7337518306,1254456.6002923087,1024524.1285686011
2023-02-09,1206775.2365113678,1048127.9408299174,1249001.297264202,1017005.7189094638
2023-02-10,1189602.7483647002,1040999.9861105112,1226346.4091454581,1022117.6433420085
2023-02-13,1205723.744526947,1043261.2836318354,1239939.12771426,1033484.6139491503
2023-02-14,1227612.1606224366,1053446.9849179606,1266985.1849137382,1028756.873672257
2023-02-15,1240184.8742034608,1060315.8077948452,1275113.3685551719,1029927.2266324615
2023-02-16,1202759.691805191,1045762.5917544322,1234052.1599637107,1016914.3587619863
2023-02-17,1200595.4266962586,1049191.016197105,1237080.0454236106,1020832.7070742578
2023-02-21,1163136.151240074,1032560.4162152858,1199363.371614559,999795.35326965
2023-02-22,1168472.1203820114,1035519.4958263163,1203207.8919488029,997245.2852564409
2023-02-23,1174850.1999487686,1037864.0736072154,1213482.7764836387,1000529.2994350643
2023-02-24,1148998.6850299453,1029937.3705391232,1184302.4543915824,990359.5593540943
2023-02-27,1168208.3719449844,1041840.9550176387,1205552.8000584678,992537.4673859009
2023-02-28,1164714.261395546,1040596.1143785549,1206374.7785073356,985524.3088133307
2023-03-01,1150050.4841906205,1033198.3663853451,1197236.329712017,985679.4442379508
2023-03-02,1145599.136474098,1021176.0884345851,1191581.11448489,995992.2955692922
2023-03-03,1175431.80384758,1038571.3922049329,1228875.4141274528,1007683.3294608418
2023-03-06,1177445.1869297943,1035563.4970479428,1223858.9960785941,1008904.7262195725
2023-03-07,1159677.7136021575,1021886.6068693997,1203054.5083294944,991552.7818221834
2023-03-08,1154630.9840797118,1016813.6868186413,1195902.4282284812,989800.5531355923
2023-03-09,1132041.100707855,993948.2414733884,1164738.635143383,973397.4575472971
2023-03-10,1118727.1391235045,993041.4078876339,1155863.0483437614,962979.3357492493
2023-03-13,1134989.1376007537,994875.0202885434,1165058.857219799,960248.1978179425
2023-03-14,1168337.5349958495,1013672.0167363812,1206449.7663899497,970395.952521487
2023-03-15,1178471.2042121734,1004798.130124992,1203479.7606736259,961920.9726472434
2023-03-16,1217345.38067247,1019660.3015336454,1238328.6583806113,973146.7181489939
2023-03-17,1217001.1665153655,1006361.9349756009,1224190.2057877616,961541.0323177975
2023-03-20,1209640.4822502288,1014310.4633698423,1230930.721923931,973087.2456400874
2023-03-21,1242174.6873665007,1043187.379291786,1266155.6851349906,982624.1840802055
2023-03-22,1224578.1102790984,1025959.4666557157,1240979.9081498221,966614.8801985545
2023-03-23,1239893.4712028655,1028994.8303747633,1257466.5698853568,968882.498000981
2023-03-24,1243421.1883354338,1024275.2041611708,1257479.1014329032,972874.4649095105
2023-03-27,1230603.6091346892,1028888.6749271238,1252608.4883061484,978745.6805806402
2023-03-28,1221253.7738227996,1023497.6282426832,1246794.8897820548,977604.0323893531
2023-03-29,1245420.473476425,1039533.2946461486,1271239.1007557944,987362.1802704284
2023-03-30,1257273.5461921843,1046054.3214729156,1284012.613281353,991630.3495344935
2023-03-31,1289017.6752357634,1072620.5705448303,1318958.634405239,1004157.888724755
2023-04-03,1273414.8856086882,1054227.0167475813,1303127.4904843406,1014026.1992610791
2023-04-04,1272735.5014457854,1049191.0932568817,1298944.3901024894,1008027.6688037869
2023-04-05,1252072.4319267424,1032605.1689481429,1276720.045890911,1010452.1902917525
2023-04-06,1272454.279460922,1034276.8805274047,1292313.4163971976,1010529.7580040625
2023-04-10,1261432.0170784148,1030467.2590311583,1284890.071642025,1013584.7234516549
2023-04-11,1246297.841709152,1030049.3168652343,1280481.6139031486,1016550.3327808108
2023-04-12,1234732.9998546448,1014236.8816700133,1267224.9692250327,1015394.8332123252
2023-04-13,1270875.0520333862,1041194.030738861,1298042.0795079307,1026958.9059698965
2023-04-14,1265476.5143289184,1053982.9343155136,1284089.8595086173,1022636.6868637429
2023-04-17,1268457.0690119017,1059922.775571022,1288314.1453133659,1025675.9737311874
2023-04-18,1263509.641026184,1059847.4875711594,1286717.0746174888,1025357.5688817201
2023-04-19,1263557.5761561585,1056170.2170760955,1278295.6220704154,1022954.8559450876
2023-04-20,1238908.8850388795,1022143.307902336,1243405.7746945457,1019623.4523738372
2023-04-21,1243186.1225801697,1027831.3582566757,1244378.1578217582,1020297.6313201919
2023-04-24,1233580.1177070008,1023391.907130577,1238113.516122921,1022302.6034341279
2023-04-25,1209416.6012571717,1006216.9691117782,1216090.2703763084,1011904.0503902492
2023-04-26,1240548.06822287,992441.1576951522,1224471.6473046378,1004994.5119075279
2023-04-27,1284025.1761295167,1023894.0622597656,1282660.5097313956,1020816.6748419263
2023-04-28,1287647.9813358155,1031300.324043228,1297256.6834393577,1029025.1777956883
2023-05-01,1276618.1685001221,1026812.6528708037,1292387.6753312186,1027623.0647710438
2023-05-02,1272717.3896152345,1019536.8573374785,1281061.0968571738,1016542.5524327676
2023-05-03,1269768.1222965089,1013588.9438417205,1275537.4837514,1008385.5648137768
2023-05-04,1269176.7181674805,1006532.7038220977,1265354.3891964988,999739.476224612
2023-05-05,1302981.6133950881,1044523.5222335509,1296005.0248833732,1016236.1717575488
2023-05-08,1304700.7254403762,1050004.8093007812,1300967.414407833,1014555.6165802046
2023-05-09,1297018.7860177688,1041787.6015481872,1296414.7189522819,1012838.9888801144
2023-05-10,1320375.3024057082,1048158.72739962,1303846.4728184775,1011919.1395500909
2023-05-11,1330660.307486885,1050048.8111270599,1307178.4510270194,1005225.0931313556
2023-05-12,1321448.2228997878,1035251.5759738616,1296374.1766377524,1004956.7890079243
2023-05-15,1319812.1431192092,1035314.4248508147,1300614.8437405662,1006404.7589323994
2023-05-16,1331821.9039758376,1035760.6196595763,1302409.895652874,996250.9331997
2023-05-17,1350896.3910592727,1060462.8629992828,1329562.2193242148,1008582.6669642059
2023-05-18,1372550.2009195022,1075994.2034064482,1348767.9335652427,1012057.4175539506
2023-05-19,1372841.2140420608,1076876.9616538237,1348604.4232884482,1008759.4930560983
2023-05-22,1387216.2571176223,1087042.2017737578,1369255.3425980643,1004532.9958076891
2023-05-23,1365774.5016854934,1073140.1158157424,1347891.2215291099,997559.7999318866
2023-05-24,1360784.3543924026,1068542.1581879577,1339266.9155694083,989846.5279194842
2023-05-25,1386859.3859933547,1070726.4474225463,1366464.8021203117,988782.0937883233
2023-05-26,1421352.7827066116,1099385.0135771788,1401496.6946984367,998701.3891811431
2023-05-30,1430403.2270883254,1119190.3520718308,1415543.6469575004,997175.6157762352
2023-05-31,1425361.375998848,1119654.5615826491,1417547.1418648795,993116.278126695
2023-06-01,1445332.8449929885,1137460.173451866,1441703.2117158012,997742.6381109032
2023-06-02,1462084.725379341,1158448.375778427,1462383.5474930839,1018903.4165276518
2023-06-05,1468426.7103189162,1161706.914635559,1463486.6604043082,1012870.6996925938
2023-06-06,1471665.0437692336,1170514.248882034,1467143.3927079276,1013185.2143680395
2023-06-07,1439460.2554238967,1168548.0889804382,1454304.4495240287,1015953.7215467662
2023-06-08,1461615.3378823928,1195558.1792632064,1481813.4958115653,1021041.479746752
2023-06-09,1473836.9361337356,1211621.2266373213,1498029.5097504691,1022344.3343918144
2023-06-12,1499502.5424112014,1231312.3588773191,1525924.1520691947,1028064.5405804683
2023-06-13,1512913.1996530227,1248086.1505032957,1543144.6692048148,1032464.3273989318
2023-06-14,1516653.1186441116,1243726.570119995,1542519.453376873,1025439.0267680518
2023-06-15,1541085.1647866897,1249761.1099912107,1563714.806778057,1038377.3919118096
2023-06-16,1529324.3169473342,1252693.4565030516,1561959.5206109122,1035089.8412113483
2023-06-20,1536212.9673074416,1275028.6844693602,1575665.127342327,1027688.6083091053
2023-06-21,1505692.4947427444,1244781.0994321287,1540356.3696137504,1024599.8101359308
2023-06-22,1538311.1157449416,1262066.2328244627,1555924.1670647697,1024454.6948565181
2023-06-23,1518620.8273233108,1245036.3422604979,1540227.0791779594,1017837.1551935414
2023-06-26,1479811.7988656692,1213790.593038696,1495100.6015931205,1017453.3246900738
2023-06-27,1506893.3658212356,1237476.844437828,1530005.2906380729,1023851.9536512878
2023-06-28,1519791.4219125442,1248676.8985132063,1542078.5491372184,1021616.4003135244
2023-06-29,1516952.9463266067,1257755.5616052626,1540166.6035119132,1029757.3557001835
2023-06-30,1542233.2240976028,1279902.0722353668,1562186.9406472282,1038363.599476642
2023-07-03,1554554.5246347121,1310961.4148462294,1587464.7785378532,1038691.5529350715
2023-07-05,1558977.9650643996,1311702.3259180067,1601372.1412316398,1034773.5582749838
2023-07-06,1553481.6488717727,1296369.9200342176,1589803.9921837882,1023716.8585170822
2023-07-07,1543612.231238716,1294490.8603739166,1579812.1018601493,1018061.9600983672
2023-07-10,1517430.3840097121,1279656.7124554443,1566347.772354229,1024384.9074922511
2023-07-11,1521541.507361763,1286019.7959420395,1577446.5121232108,1033952.1421361133
2023-07-12,1540469.740424507,1297345.3010083465,1598621.7770844535,1036547.7133969696
2023-07-13,1571197.952231758,1315300.3354007567,1624159.4187546805,1037987.5493212176
2023-07-14,1581573.6970437698,1322321.306502655,1623339.035419567,1041424.5770113583
2023-07-17,1593947.8309854202,1345946.0202019957,1638928.9839745597,1043727.795800286
2023-07-18,1618763.749549263,1350283.1606645507,1657105.976814373,1054790.507645312
2023-07-19,1611935.8555520705,1354434.0964648284,1651027.0800477103,1058088.432143164
2023-07-20,1552356.415854805,1296714.0065417937,1584783.1701279716,1063036.7334986774
2023-07-21,1543339.874396675,1288375.9134187163,1567855.5707207755,1063112.5329500686
2023-07-24,1556822.2718086625,1308307.2783953932,1586493.5914116935,1068651.669220625
2023-07-25,1566256.0532384415,1301217.2972040023,1588211.416305645,1069461.4148374302
2023-07-26,1551952.9754796524,1301458.7191924972,1602605.893470867,1071937.5695442283
2023-07-27,1528846.6646886368,1281215.1669577484,1594238.5757523612,1064773.1657210598
2023-07-28,1568150.1752019424,1312054.839355194,1641435.2577706412,1070101.761058203
2023-07-31,1568099.5190129776,1320530.744293167,1637929.7856255607,1073126.9018382959
2023-08-01,1556349.4647832413,1304005.6753132627,1629272.3354340629,1075274.042130113
2023-08-02,1518876.8867955704,1276864.1202471617,1586873.5942421989,1064767.1536339354
2023-08-03,1521829.6179662247,1285376.0744442367,1591677.2428589896,1062756.4052009976
2023-08-04,1520327.8804173965,1274902.7313045883,1574209.252128704,1058221.5232483284
2023-08-07,1526584.8023686905,1270511.3809279632,1585297.5952645377,1070519.4242872524
2023-08-08,1515237.308762123,1265312.2022531584,1576412.1032525138,1065731.9167912996
2023-08-09,1492524.487595131,1242622.882159912,1548786.5306283073,1059963.9675578347
2023-08-10,1497759.5274759291,1251111.6208578644,1558702.6541634635,1061557.0527617228
2023-08-11,1491257.6323070754,1246023.0301931,1542853.1205216483,1064733.3209083534
2023-08-14,1502278.4359885636,1247515.215739975,1551519.196079357,1065524.9123797244
2023-08-15,1481945.9075157698,1220430.8908997574,1526454.5390053825,1054623.3480464432
2023-08-16,1466598.0905120163,1200870.5112873153,1502361.4620896415,1049171.5638652816
2023-08-17,1450357.274098137,1180860.2766986922,1474308.942653759,1040392.3841709526
