date,a2c,ppo,td3,dji
2023-01-03,1000000.0,1000000.0,1000000.0,1000000.0
2023-01-04,999814.3090430908,1000228.4761354293,1000877.6658529281,1004025.7406920807
2023-01-05,997715.3520263595,999925.3961178054,998885.2010069847,993774.424840718
2023-01-06,1000313.6281087875,1000436.2453915862,1004487.7766168595,1014915.2808511135
2023-01-09,1003616.6141602172,1001505.277445854,1006604.3688896179,1011506.309567553
2023-01-10,1005780.591153305,1001540.3327076873,1008254.214365387,1017133.1515796877
2023-01-11,1012429.2977166901,1002925.6660435334,1016122.1330731392,1025248.4082409919
2023-01-12,1017903.3132917786,1003342.3909845277,1027984.7278306962,1031795.8068875177
2023-01-13,1017609.3864398651,1003346.1081880417,1027587.9642354966,1035195.1116780549
2023-01-17,1025189.4959112626,1006134.8337091523,1033952.0481338501,1023372.5191741372
2023-01-18,1015556.8514967804,1004634.9146200333,1021198.1977575303,1004846.3316425222
2023-01-19,1012891.0988997421,1003626.8268795853,1015405.568924141,997229.2530241093
2023-01-20,1035370.1017314224,1007581.155889656,1042524.4356779099,1007216.1549260626
2023-01-23,1057055.809524147,1013160.4770526352,1071877.4911609956,1014883.570038634
2023-01-24,1056434.6509096376,1013230.6626209334,1074086.9384186745,1018034.2573439707
2023-01-25,1053885.5896144714,1014091.5433602751,1074407.1786683083,1018332.3861349012
2023-01-26,1099328.865925293,1024285.3317797163,1114002.9784005166,1024536.1527428498
2023-01-27,1135228.5151715698,1035833.2211871718,1141179.97542696,1025401.303868448
2023-01-30,1097090.8524638442,1027375.0007003401,1108272.662373829,1017525.1160833823
2023-01-31,1122435.4012029343,1032837.0904741285,1131165.2880566597,1028659.3835535938
2023-02-01,1154679.0794344407,1039530.435316345,1158134.8289673806,1028868.2741101491
2023-02-02,1255776.169456627,1047500.8240475843,1224404.5664265633,1027690.7302222081
2023-02-03,1241319.7603532334,1046468.9304130477,1208196.4895222664,1023830.0272158931
2023-02-06,1245516.368437645,1050118.202676628,1211777.5465004921,1022774.0217951124
2023-02-07,1280951.824508232,1052983.53877816,1247968.3195126534,1030791.5525696309
2023-02-08,1272358.3786548234,1056514.037583107,1241513.1476529122,1024524.1285686011
2023-02-09,1265808.023019539,1060945.335156296,1235386.2669575692,1017005.7189094638
2023-02-10,1238242.615685463,1049661.0012094956,1213552.234399128,1022117.6433420085
2023-02-13,1259823.598834587,1048170.6668799743,1231020.4135544777,1033484.6139491503
2023-02-14,1286194.0422336273,1064023.2451876677,1256057.0695851326,1028756.873672257
2023-02-15,1286895.1358820344,1070608.8678023755,1257351.0608132363,1029927.2266324615
2023-02-16,1241576.686153122,1053782.463637039,1215300.4453461647,1016914.3587619863
2023-02-17,1244455.075761841,1060631.2403476485,1216578.2822831154,1020832.7070742578
2023-02-21,1212932.408969841,1044413.5235181424,1182469.282225895,999795.35326965
2023-02-22,1213971.4128126297,1048705.2457649303,1184291.6989834786,997245.2852564409
2023-02-23,1224009.3119124984,1050662.3763762356,1197835.701972294,1000529.2994350643
2023-02-24,1201057.3920086822,1042429.3605901944,1167836.1097691536,990359.5593540943
2023-02-27,1217286.340426529,1057628.4946538846,1185211.0044930459,992537.4673859009
2023-02-28,1224163.3180041658,1054940.2159883496,1188257.7467816353,985524.3088133307
2023-03-01,1209834.9233706817,1049100.9146454465,1180226.7809422493,985679.4442379508
2023-03-02,1205104.9497917632,1031502.0381309201,1180187.9896958352,995992.2955692922
2023-03-03,1247846.2359975586,1045005.3848880918,1216921.842652607,1007683.3294608418
2023-03-06,1244524.3682829132,1037948.1189925533,1208507.2734807015,1008904.7262195725
2023-03-07,1229111.044263199,1025962.4517583769,1189592.4967148781,991552.7818221834
2023-03-08,1222031.009893097,1016680.4104208449,1182735.6334565163,989800.5531355923
2023-03-09,1198549.4712369079,996768.8780317992,1153324.6942990304,973397.4575472971
2023-03-10,1184936.306933853,996335.2488133087,1145129.7511151314,962979.3357492493
2023-03-13,1199788.1727864991,997768.1039873887,1154186.4715054512,960248.1978179425
2023-03-14,1253870.7888735505,1016272.3316089173,1197302.8309929848,970395.952521487
2023-03-15,1268714.1288732453,1009749.3996915971,1193133.9240468026,961920.9726472434
2023-03-16,1312621.4608882219,1020391.536009659,1229462.587012577,973146.7181489939
2023-03-17,1293468.3421241685,1010115.1377395936,1213468.7499897957,961541.0323177975
2023-03-20,1286907.2253411026,1016298.4186755526,1216896.232281971,973087.2456400874
2023-03-21,1316062.6796403655,1048627.6881558,1245834.1499913216,982624.1840802055
2023-03-22,1300070.1012895126,1032422.0160330432,1220881.2473042489,966614.8801985545
2023-03-23,1323870.078315979,1035417.5003103411,1238682.2435276986,968882.498000981
2023-03-24,1331668.2469907838,1029551.4781702654,1239088.8064473153,972874.4649095105
2023-03-27,1316913.7408787766,1034689.622226143,1236864.3089058877,978745.6805806402
2023-03-28,1306342.6398524095,1028127.3872632373,1233532.9479916573,977604.0323893531
2023-03-29,1334470.1854144821,1041914.4459206697,1258825.0845482827,987362.1802704284
2023-03-30,1350199.9245875168,1046958.6143462984,1273846.8856633187,991630.3495344935
2023-03-31,1380455.3967591783,1077620.7150611957,1304667.374072361,1004157.888724755
2023-04-03,1371316.3804264145,1047586.5206410296,1291531.9450562478,1014026.1992610791
2023-04-04,1373908.2361115953,1042462.5455346224,1287941.4735196114,1008027.6688037869
2023-04-05,1354055.7595990829,1024274.2810721132,1266186.2022908211,1010452.1902917525
2023-04-06,1381983.164043541,1024172.4681562425,1282380.717892933,1010529.7580040625
2023-04-10,1373411.619329689,1023637.8688005754,1278199.628295231,1013584.7234516549
2023-04-11,1358090.0780183487,1027436.9840708696,1272545.2163327218,1016550.3327808108
2023-04-12,1355390.4358229141,1008292.147664879,1261651.8627007485,1015394.8332123252
2023-04-13,1391171.9630003967,1028029.6295534746,1289325.0536263466,1026958.9059698965
2023-04-14,1385773.9882192002,1029202.2590013277,1269825.0119717598,1022636.6868637429
2023-04-17,1384888.411036789,1035768.7922129824,1277461.8559735299,1025675.9737311874
2023-04-18,1379909.1679419402,1029506.0504589006,1277808.3106987954,1025357.5688817201
2023-04-19,1371339.6919347993,1018636.6653342593,1268587.1203587533,1022954.8559450876
2023-04-20,1350744.9760955658,969092.9178563311,1235871.005145359,1019623.4523738372
2023-04-21,1350545.5368874208,978293.3598018878,1237224.2724583626,1020297.6313201919
2023-04-24,1340748.8283259277,970562.0738311694,1229491.7190468789,1022302.6034341279
2023-04-25,1309790.329071083,958971.9537778171,1205265.6711915017,1011904.0503902492
2023-04-26,1356195.0082607118,939541.5716469958,1224274.127419758,1004994.5119075279
2023-04-27,1471866.5294154282,966858.4427766802,1287980.3756497384,1020816.6748419263
2023-04-28,1483895.323929817,979363.5002197344,1303189.406947422,1029025.1777956883
2023-05-01,1488959.1702739487,970603.768068474,1298937.2749073983,1027623.0647710438
2023-05-02,1475366.7104380266,964195.2194749377,1288429.1598732949,1016542.5524327676
2023-05-03,1465887.9009214402,963690.5047631839,1281842.6510155678,1008385.5648137768
2023-05-04,1456381.901219391,961143.2453601153,1270633.924197483,999739.476224612
2023-05-05,1465921.7543073578,995541.3136400378,1294590.4844906807,1016236.1717575488
2023-05-08,1463374.56192659,1003892.7263416675,1297100.3099282265,1014555.6165802046
2023-05-09,1460120.2316533814,994653.3006997074,1295534.4353039742,1012838.9888801144
2023-05-10,1470570.9207121506,994738.2807717212,1299100.411017704,1011919.1395500909
2023-05-11,1475165.8471360246,997417.5415635073,1294511.3575795174,1005225.0931313556
2023-05-12,1465906.3875706254,980589.4525866854,1283267.5624077797,1004956.7890079243
2023-05-15,1484282.8337187653,977660.6311609881,1292210.3294098855,1006404.7589323994
2023-05-16,1489045.729424103,977379.9860762255,1291125.0472310067,996250.9331997
2023-05-17,1507968.316697113,1009476.431242203,1319458.1838601113,1008582.6669642059
2023-05-18,1532656.9418202057,1024421.0381792606,1338039.6479790688,1012057.4175539506
2023-05-19,1528115.767381729,1031028.4910903628,1335071.5473702431,1008759.4930560983
2023-05-22,1543424.2022572174,1061101.8505025944,1354251.6190083504,1004532.9958076891
2023-05-23,1525268.5859852447,1045799.6983682023,1333749.91207819,997559.7999318866
2023-05-24,1530716.1934681549,1034764.2730482563,1326128.1094906807,989846.5279194842
2023-05-25,1568620.860338272,1039541.7530492098,1358346.4051602364,988782.0937883233
2023-05-26,1615710.3480091703,1078298.1720365756,1394661.728463459,998701.3891811431
2023-05-30,1613745.1963978424,1108901.601524811,1405711.8345921517,997175.6157762352
2023-05-31,1615233.7182484283,1117084.5723712924,1406783.3251660347,993116.278126695
2023-06-01,1651334.1016280823,1134990.4549707568,1432358.8416417122,997742.6381109032
2023-06-02,1657400.2339751893,1165669.076700104,1452793.013936329,1018903.4165276518
2023-06-05,1654373.1581871032,1179139.5565595247,1451358.7886517525,1012870.6996925938
2023-06-06,1648586.906971573,1195162.8488432467,1451862.193837452,1013185.2143680395
2023-06-07,1600613.4254118195,1203520.2570100252,1438263.0135014534,1015953.7215467662
2023-06-08,1608020.8404366989,1245292.335591019,1464010.335912037,1021041.479746752
2023-06-09,1612581.4792306442,1279992.8842593692,1477486.7744725228,1022344.3343918144
2023-06-12,1644405.5377023239,1305345.6429244082,1505879.8169682503,1028064.5405804683
2023-06-13,1650580.070472229,1340528.41510965,1522305.689603138,1032464.3273989318
2023-06-14,1664108.4489970093,1331116.4911994175,1522911.4342244149,1025439.0267680518
2023-06-15,1716361.9978861695,1331570.8264121935,1548953.6646092415,1038377.3919118096
2023-06-16,1701102.1911158448,1345259.443060219,1545419.8139584542,1035089.8412113483
2023-06-20,1703330.4558482056,1394234.1991678698,1552509.3418934823,1027688.6083091053
2023-06-21,1684438.4191813355,1334795.2157863085,1521356.2122776986,1024599.8101359308
2023-06-22,1708793.0932993775,1356263.995569237,1531883.9280026436,1024454.6948565181
2023-06-23,1711924.568740204,1323793.5309996111,1518369.99313097,1017837.1551935414
2023-06-26,1662893.764418915,1263673.0283403627,1476359.7524846077,1017453.3246900738
2023-06-27,1705189.1410058287,1301268.4056976703,1512978.5204174996,1023851.9536512878
2023-06-28,1701899.460585907,1323666.8383824236,1520609.3166668892,1021616.4003135244
2023-06-29,1687270.225356415,1330925.7876714251,1517754.84211092,1029757.3557001835
2023-06-30,1717787.7099755555,1351133.280079819,1538455.3579571724,1038363.599476642
2023-07-03,1709007.906264618,1421636.6129256443,1558794.9383709908,1038691.5529350715
2023-07-05,1738018.7607568055,1430601.667248444,1574482.1537564278,1034773.5582749838
2023-07-06,1736555.3952846376,1404788.7862732927,1565517.3881314278,1023716.8585170822
2023-07-07,1722833.3428523713,1397641.664433617,1555598.4116261483,1018061.9600983672
2023-07-10,1723498.2276179963,1376834.7148381427,1547152.044064808,1024384.9074922511
2023-07-11,1739259.4366023713,1382351.1670951312,1561765.6592305184,1033952.1421361133
2023-07-12,1787368.078692215,1393757.8039023136,1584828.724911976,1036547.7133969696
2023-07-13,1813086.45875647,1420036.3121204532,1607204.6487172127,1037987.5493212176
2023-07-14,1803048.543824219,1431810.2398300632,1602196.7413342476,1041424.5770113583
2023-07-17,1810109.3929453127,1464025.7838694004,1612810.2612698555,1043727.795800286
2023-07-18,1844609.6026468507,1477427.8834084934,1637453.3959248543,1054790.507645312
2023-07-19,1848723.6590128175,1471776.5509449618,1631090.205731678,1058088.432143164
2023-07-20,1784748.7151956789,1359360.9064753267,1570358.6141713143,1063036.7334986774
2023-07-21,1749724.1726380158,1348186.0382330173,1550033.2393734932,1063112.5329500686
2023-07-24,1743507.7749329377,1384110.731285385,1564878.8220456124,1068651.669220625
2023-07-25,1765950.5014954377,1368346.7307090915,1569085.980771351,1069461.4148374302
2023-07-26,1751617.7462464143,1365171.1236019747,1578330.6751912117,1071937.5695442283
2023-07-27,1781567.975860672,1329262.2680831072,1575134.9373372078,1064773.1657210598
2023-07-28,1845294.3302307893,1375799.571694115,1623518.2343457222,1070101.761058203
2023-07-31,1816405.3218079377,1384253.6473698046,1616764.2797177315,1073126.9018382959
2023-08-01,1831418.768829422,1358291.8823056642,1612885.5104039193,1075274.042130113
2023-08-02,1783569.291046219,1323172.590795746,1568231.461289692,1064767.1536339354
2023-08-03,1777917.7224427033,1343182.275999428,1571907.5299809456,1062756.4052009976
2023-08-04,1771880.757598953,1327921.8208144153,1564435.867223072,1058221.5232483284
2023-08-07,1796906.8763733674,1321895.160346764,1581209.4198620797,1070519.4242872524
2023-08-08,1774717.5702210236,1314594.4693400194,1569293.221093464,1065731.9167912996
2023-08-09,1740994.0753479768,1281714.1039666063,1541910.2867749215,1059963.9675578347
2023-08-10,1744319.0942688752,1299777.2421645129,1552869.209473896,1061557.0527617228
2023-08-11,1726113.822804825,1285756.585700554,1533651.631764698,1064733.3209083534
2023-08-14,1748253.0251668855,1275789.7951565478,1544002.3831952095,1065524.9123797244
2023-08-15,1729005.0765737458,1242476.671654236,1520060.4303753853,1054623.3480464432
2023-08-16,1701026.1416625367,1210923.7755765994,1496000.5734303475,1049171.5638652816
2023-08-17,1661855.047302185,1182903.9718867342,1464850.887399006,1040392.3841709526
2023-08-18,1654675.8108519895,1168366.7234161608,1459778.7890599251,1041171.951468075
2023-08-21,1689144.168029724,1232057.6888156512,1500660.7669003487,1040056.2967122962
2023-08-22,1682497.6583861695,1237672.336515816,1502721.0985806466,1034779.2167099242
2023-08-23,1715078.2197875367,1253751.5232862018,1521511.0880215645,1040336.625009976
2023-08-24,1674213.4378051145,1219082.9195645677,1477100.871709156,1029063.2543474758
2023-08-25,1676408.7073363648,1255387.0307940296,1497445.5674031258,1036531.6811646379
2023-08-28,1694302.2987670288,1258060.9640211337,1510831.1826375008,1042962.1388223924
2023-08-29,1730991.1901244507,1333121.3446484683,1553163.0874035836,1051795.0736486567
2023-08-30,1721888.323791443,1331724.2718280184,1552185.7033703804,1052928.7646658088
2023-08-31,1722380.8934935913,1334772.5287680973,1546979.4909985543,1047848.9046979273
2023-09-01,1726002.7009887085,1280617.9955159305,1527461.2566693306,1051343.577694025
2023-09-05,1749484.153869568,1324956.3613114627,1551750.100869465,1045436.4073842104
2023-09-06,1744675.9548949585,1305255.1848626558,1536037.3760540963,1039437.6411587956
2023-09-07,1736558.5604857788,1302341.0887293858,1527228.3258030892,1041174.0733811778
2023-09-08,1743276.925353943,1292038.6894142611,1522578.628941822,1043463.3818508765
2023-09-11,1784384.8584594117,1395489.335958588,1571903.0570614815,1046092.7858373146
2023-09-12,1750832.1340941768,1372508.4679394534,1549447.2131398201,1045557.7100832484
2023-09-13,1771750.4431762085,1388832.835180115,1561902.3077176095,1043431.4352702745
2023-09-14,1800304.6132201538,1411295.2701466982,1581615.4805996895,1053437.9059263973
2023-09-15,1742852.4146213685,1403585.7439915317,1552746.1211216927,1044720.2617120468
2023-09-18,1748042.6589969941,1366031.8707962497,1537964.8508122445,1044903.2177751245
2023-09-19,1755810.6321415254,1366089.25212822,1537080.3201077462,1041687.1048157879
2023-09-20,1720289.2985233613,1349052.340887787,1511876.7957356453,1039367.8537945288
2023-09-21,1704090.398743088,1319208.5103732303,1492258.6096814156,1028188.0830766703
2023-09-22,1710160.4713749236,1272299.1053028263,1475351.2160580636,1024971.6164651497
2023-09-25,1717310.752258713,1281524.4614293596,1482692.24369936,1026270.4630521291
2023-09-26,1699253.0514530488,1265689.3496868212,1464456.0300839425,1014561.2750151452
2023-09-27,1696465.5747684785,1251532.2298473362,1459436.4208004952,1012490.7593631478
2023-09-28,1719651.4154667207,1276312.3133715289,1470756.8422787667,1015993.5663594726
2023-09-29,1711324.6312870332,1291963.6335440143,1477033.8726742745,1011200.0467763955
2023-10-02,1747056.0636600798,1298376.3539410555,1492388.1500218392,1008962.3715255294
2023-10-03,1708744.8041385957,1272617.8858985447,1465016.0382855416,995956.3409306075
2023-10-04,1736678.6043094941,1332713.5512188724,1494599.1241200448,999794.1744290374
2023-10-05,1734828.2994999238,1330467.2274650424,1494792.1951420784,999492.9806525143
2023-10-06,1788382.664368088,1338113.0311203236,1523681.326398182,1008184.5724893259
2023-10-09,1803958.955505783,1337263.4056680454,1532180.900529194,1014131.8233799695
2023-10-10,1812824.3696903535,1354668.1933817752,1546775.81791811,1018195.4048557151
2023-10-11,1842042.2902897035,1353300.0263294298,1562571.2777646065,1020174.206708051
2023-10-12,1826761.922858063,1335115.5745783618,1545026.0419247628,1014931.313083445
2023-10-13,1786855.2569950258,1303726.3929900134,1509469.4782269478,1016112.7471454078
2023-10-16,1819614.8916093293,1317760.1535547718,1529701.533856678,1025596.2841057746
2023-10-17,1828148.1452440186,1321887.63964901,1532197.4238102913,1025991.9030153682
2023-10-18,1799807.163157837,1268736.073848183,1501389.744290638,1015955.489807685
2023-10-19,1788133.2803148194,1174419.0154996875,1463258.8349049569,1008383.5607847354
2023-10-20,1763826.876124756,1137891.1742174914,1436753.416871357,999725.6837894445
2023-10-23,1787939.6756373749,1138148.2956168521,1450557.5397732735,993965.5149040229
2023-10-24,1785534.6998072965,1156050.3777277835,1457963.5067723275,1000151.1273665373
2023-10-25,1762687.9803248749,1136641.7809381946,1439511.7673924447,996968.8471327826
2023-10-26,1696762.6154567108,1106892.7635274127,1399684.971722889,989375.1095584994
2023-10-27,1729670.4778834686,1109961.5271882326,1414722.6850216866,978308.3896553906
2023-10-30,1766192.5313502655,1073633.8481731648,1424264.0342915535,993740.7099991972
2023-10-31,1763144.4390651092,1090740.8825221332,1434075.58455019,997480.1103064738
2023-11-01,1816622.1249781952,1111124.8133214724,1467847.0785801888,1004170.8559714936
2023-11-02,1818106.683938156,1169087.3462540363,1493575.7908566475,1021206.5174325182
2023-11-03,1840567.3724977875,1179381.8727589038,1513439.7955525399,1027913.4132139309
2023-11-06,1852726.9807588959,1176110.679081139,1515989.3983700753,1028955.7440836052
2023-11-07,1871718.6271517181,1189203.0726473925,1527658.286214161,1030668.12795749
2023-11-08,1880768.0681917572,1189647.092109978,1533359.7160084725,1029450.975024965
2023-11-09,1878000.6013796234,1147206.9081729052,1524516.446748066,1022801.8424335703
2023-11-10,1925574.1967415314,1166506.470535576,1555406.624860096,1034606.398676115
2023-11-13,1920572.0116829376,1205330.4125140307,1575084.1066449166,1036259.2510990625
2023-11-14,1952753.1831917267,1266417.9862902758,1612928.688382435,1051041.4408450117
2023-11-15,1940717.6488899689,1293642.6096728442,1619694.0106862069,1055975.9497653577
2023-11-16,1959835.4742073517,1258129.5023272631,1616744.9328282357,1054595.5274079852
2023-11-17,1949105.8540901642,1260741.262398064,1611638.9531071663,1054650.2256124106
2023-11-20,1982421.8037971954,1269535.8703311083,1643156.0551045418,1060799.2940159338
2023-11-21,1962719.5838264923,1291059.065445244,1640572.7452328682,1058905.604455829
2023-11-22,1988528.0961307222,1264160.8856433032,1644201.3853276253,1064480.813249131
2023-11-24,1976429.1550601656,1270701.4864123461,1641378.6036389351,1068015.2131738737
2023-11-27,1966859.3074039156,1271946.4644854662,1638146.7482655526,1066304.7154449695
2023-11-28,1990419.1204684908,1313170.4919436572,1662407.8530591012,1068824.9587906792
2023-11-29,1958793.232864731,1302738.9835970995,1648760.5917523385,1069230.59784548
2023-11-30,1941585.0640109712,1288123.1098483203,1644518.4563534737,1084937.470167965
2023-12-01,1924085.0348972017,1282946.9913867114,1636963.9948895455,1093828.2860683084
2023-12-04,1896007.1343234712,1268915.7124179003,1618907.004624653,1092589.2067003886
2023-12-05,1897366.6666074982,1280548.2081606982,1624318.7563412667,1090178.4776475905
2023-12-06,1886449.601666092,1282883.7587588427,1622096.7830784798,1088062.1050957625
2023-12-07,1922471.6619688263,1298140.2692416308,1643151.400857258,1089961.806742992
2023-12-08,1950703.4326455842,1306394.8094409106,1667340.4922726632,1093899.8416934942
2023-12-11,1918728.7080667268,1288980.0076754687,1651361.7922070504,1098639.606144636
2023-12-12,1956072.3103456725,1277580.3631442187,1663267.958707142,1103860.80910197
2023-12-13,1957837.2383203888,1289936.5099871752,1672239.9277356148,1119321.0679682952
2023-12-14,1934219.6729364777,1341135.6506732104,1682832.9341366768,1124092.661115978
2023-12-15,1950595.9568262482,1352776.5924151537,1704078.049985218,1125807.049018904
2023-12-18,1988047.8433313752,1346643.7192462084,1712660.210381794,1125832.9835123816
2023-12-19,2009071.2894810943,1371075.4918521044,1731461.6124928475,1133434.972970953
2023-12-20,1999662.4719762115,1324058.157722771,1704634.9402783394,1119072.4504830947
2023-12-21,2022483.1747451324,1356550.3091357348,1727948.4325764657,1128800.4789865178
2023-12-22,2022325.437852432,1347038.862648308,1722595.0283558846,1128245.716594221
2023-12-26,2027441.8559585114,1364571.1671298144,1733056.1564038277,1133054.9147574457
2023-12-27,2036467.3366103668,1384180.0655825732,1740887.7705967904,1136410.484561255
2023-12-28,2040762.7250075836,1350784.1693575976,1730359.7313473702,1138027.5002295792
