date,a2c,ppo,td3,dji
2023-01-03,1000000.0,1000000.0,1000000.0,1000000.0
2023-01-04,999315.8798615455,1000022.9850916748,1000084.0994467734,1004025.7406920807
2023-01-05,997798.2555079956,1000021.3168594971,998861.2763908386,993774.424840718
2023-01-06,999593.1458309479,1000067.8067533569,1002750.0800998688,1014915.2808511135
2023-01-09,1000830.5493361893,1000093.8213757934,1002424.3136926651,1011506.309567553
2023-01-10,1002969.8467039797,1000124.1578010253,1002806.9995332719,1017133.1515796877
2023-01-11,1007329.8144859392,1000159.7599824829,1008135.7875356675,1025248.4082409919
2023-01-12,1012543.0738377611,1000350.686793396,1017116.3492525101,1031795.8068875177
2023-01-13,1013276.6375132449,1000324.0913477173,1017460.1246097566,1035195.1116780549
2023-01-17,1014481.6848956988,1000359.427289917,1017117.2624362947,1023372.5191741372
2023-01-18,1007861.5525038072,1000290.1816433106,1009430.9147968295,1004846.3316425222
2023-01-19,1004811.3893550797,1000292.865328003,1002011.0549171449,997229.2530241093
2023-01-20,1021327.1510586549,1000707.5585855714,1017791.1506013873,1007216.1549260626
2023-01-23,1030618.9815225524,1000932.8160973511,1029499.3965774538,1014883.570038634
2023-01-24,1030128.6106795578,1000966.1342219239,1032042.9529983522,1018034.2573439707
2023-01-25,1028872.069873024,1001215.5302294922,1034148.1919452669,1018332.3861349012
2023-01-26,1047743.7911113664,1001413.6023040772,1049011.5897949222,1024536.1527428498
2023-01-27,1052724.6978309022,1001391.336567566,1047256.5494480135,1025401.303868448
2023-01-30,1034151.4653854219,1001114.2772291871,1029277.9403796694,1017525.1160833823
2023-01-31,1047359.6253610612,1001247.9892165528,1046517.0218005679,1028659.3835535938
2023-02-01,1065372.3666161958,1001388.7737117311,1062493.4316669009,1028868.2741101491
2023-02-02,1136075.388155594,1002019.1498188478,1081833.9342151186,1027690.7302222081
2023-02-03,1114992.97105336,1001585.4737113038,1059312.567866852,1023830.0272158931
2023-02-06,1109518.3780939637,1001432.5785062867,1056453.3275409243,1022774.0217951124
2023-02-07,1147256.6126373063,1001764.0899354249,1094816.3506732485,1030791.5525696309
2023-02-08,1134844.891698788,1001792.7220370484,1091414.9113879702,1024524.1285686011
2023-02-09,1118536.7646849635,1001501.3245158693,1080942.650401642,1017005.7189094638
2023-02-10,1103873.6969110987,1001011.8029145509,1075639.9382739565,1022117.6433420085
2023-02-13,1128542.0780717623,1000922.8237034914,1095325.1124682925,1033484.6139491503
2023-02-14,1138014.1617371524,1000921.9765461427,1103975.3958087466,1028756.873672257
2023-02-15,1135470.3251316913,1001294.1097354738,1100750.6478992007,1029927.2266324615
2023-02-16,1100508.6162847101,1000461.4382557984,1071279.610118439,1016914.3587619863
2023-02-17,1094355.7195732843,1000307.0039359132,1060875.2765460513,1020832.7070742578
2023-02-21,1067981.3459550135,999493.4059590455,1033467.7092700503,999795.35326965
2023-02-22,1066581.6468083994,999382.9140324708,1031298.8315845034,997245.2852564409
2023-02-23,1081539.51501289,999395.8819360352,1046638.0840411684,1000529.2994350643
2023-02-24,1062406.8608851053,998989.993550232,1015706.7478290102,990359.5593540943
2023-02-27,1073916.6865030862,999032.8753280031,1022165.6408954165,992537.4673859009
2023-02-28,1074934.9257891353,998780.9147389528,1020812.558177521,985524.3088133307
2023-03-01,1061604.3253729364,998451.7658743898,1017797.6011615298,985679.4442379508
2023-03-02,1055660.6886742136,998570.5949729006,1038022.9491687319,995992.2955692922
2023-03-03,1090663.214664738,999286.0353391115,1059441.5940051577,1007683.3294608418
2023-03-06,1083083.6102271462,999126.6064299318,1055059.0204577944,1008904.7262195725
2023-03-07,1065741.7174658396,998584.4379505618,1039768.5322375796,991552.7818221834
2023-03-08,1060389.609450703,998666.7546565554,1039712.139049103,989800.5531355923
2023-03-09,1027620.1911036113,997547.0267493898,1019644.5390124819,973397.4575472971
2023-03-10,1015107.0029989054,996616.0168229372,1010933.4445605776,962979.3357492493
2023-03-13,1018059.7560442622,996256.541218506,1019182.5143847964,960248.1978179425
2023-03-14,1061759.128471058,996542.8662766116,1041665.8864856263,970395.952521487
2023-03-15,1061239.0961002163,996441.885610779,1033454.6085773013,961920.9726472434
2023-03-16,1089026.3881535686,996909.3445518191,1065887.206477692,973146.7181489939
2023-03-17,1065142.5153919528,996471.1742559817,1066161.682445099,961541.0323177975
2023-03-20,1078297.4149128268,996887.805627991,1062222.2764087222,973087.2456400874
2023-03-21,1125197.938777573,997854.6118350832,1069483.3238177798,982624.1840802055
2023-03-22,1103474.2050739597,997156.993780701,1049107.670161774,966614.8801985545
2023-03-23,1117404.409038193,997558.7400104983,1064673.5363727114,968882.498000981
2023-03-24,1108749.6761432956,996786.8375037845,1065316.774257233,972874.4649095105
2023-03-27,1111000.0627704929,997476.8221196291,1065640.7926593325,978745.6805806402
2023-03-28,1099226.3891865085,997110.957154114,1069848.6315875552,977604.0323893531
2023-03-29,1125088.6593128513,998061.9461398928,1089248.456828644,987362.1802704284
2023-03-30,1137198.4425770114,998641.8992191774,1103912.1142840884,991630.3495344935
2023-03-31,1177968.5956379245,999615.522612549,1118224.9473834536,1004157.888724755
2023-04-03,1150098.5938984226,999434.2255522463,1121326.0548358462,1014026.1992610791
2023-04-04,1145075.6755024265,999339.2520210574,1117307.1082873843,1008027.6688037869
2023-04-05,1122420.5131794284,999509.6950850222,1104860.8987994692,1010452.1902917525
2023-04-06,1128549.783610947,999539.5958617557,1120545.3233294985,1010529.7580040625
2023-04-10,1130203.1476398779,999975.0521356204,1118040.5747333071,1013584.7234516549
2023-04-11,1130669.790416367,999768.6460868533,1107773.3280139468,1016550.3327808108
2023-04-12,1106237.9586139987,998440.8639565433,1103373.4892230532,1015394.8332123252
2023-04-13,1136122.3172870944,1000014.6358867191,1121923.2535510561,1026958.9059698965
2023-04-14,1134230.7420307468,999496.0842161869,1092933.1069446108,1022636.6868637429
2023-04-17,1137645.9815479587,999718.7678474735,1104740.7451282046,1025675.9737311874
2023-04-18,1134603.359904892,1000074.9112219242,1112283.724330475,1025357.5688817201
2023-04-19,1118963.0044208835,998821.8711721806,1109650.4003100893,1022954.8559450876
2023-04-20,1069987.5825001071,998425.1372169195,1100165.3178973696,1019623.4523738372
2023-04-21,1079747.020885117,999309.6072208257,1098497.5248523257,1020297.6313201919
2023-04-24,1073610.6150776218,999374.60472815,1092609.4450488589,1022302.6034341279
2023-04-25,1053286.1198841403,998361.9687405401,1070559.0554004214,1011904.0503902492
2023-04-26,1039870.9463764498,997501.9263992315,1106156.3961749575,1004994.5119075279
2023-04-27,1104574.3695637058,999565.0026181646,1134650.6901050112,1020816.6748419263
2023-04-28,1124222.8110004733,1001182.0434352423,1145766.807094147,1029025.1777956883
2023-05-01,1125348.7961536716,1000996.3913610235,1139114.4673114321,1027623.0647710438
2023-05-02,1109796.8002888034,999956.7485878912,1133627.3681140444,1016542.5524327676
2023-05-03,1106593.8401447604,1000125.7665548102,1127405.468913605,1008385.5648137768
2023-05-04,1092934.6929889987,997871.0258840339,1115761.9859271548,999739.476224612
2023-05-05,1125910.3729206393,999923.623325257,1134789.8035235903,1016236.1717575488
2023-05-08,1139357.1234699558,1001580.7941434332,1134500.0509295962,1014555.6165802046
2023-05-09,1129086.1331287692,1001039.1703533941,1137428.3672442934,1012838.9888801144
2023-05-10,1126885.0576587985,1000318.2046961065,1143677.179698517,1011919.1395500909
2023-05-11,1113192.7654682468,994133.5330501104,1125394.616054108,1005225.0931313556
2023-05-12,1098779.0186115573,993906.1971822516,1120338.7431903384,1004956.7890079243
2023-05-15,1106996.6050220798,994528.4434221197,1127561.8398852847,1006404.7589323994
2023-05-16,1103889.167354233,993166.725906983,1125324.7642932436,996250.9331997
2023-05-17,1135103.7451435397,994475.9283975837,1146204.652507355,1008582.6669642059
2023-05-18,1157635.8258014987,995207.4735535284,1159330.6379352114,1012057.4175539506
2023-05-19,1154364.4059101413,993405.1683900153,1150860.6745257876,1008759.4930560983
