date,a2c,ppo,td3,dji
2023-01-03,1000000.0,1000000.0,1000000.0,1000000.0
2023-01-04,1000657.0428553848,1000044.1613042755,1000511.579038906,1004025.7406920807
2023-01-05,999711.4036659393,999997.2285295639,1000019.6975073813,993774.424840718
2023-01-06,1001852.8760206146,1000197.4453427581,1003173.8887719153,1014915.2808511135
2023-01-09,1004720.095008583,1000297.6954075316,1003216.0605322836,1011506.309567553
2023-01-10,1004518.8213923263,1000430.9257694167,1005933.8403511046,1017133.1515796877
2023-01-11,1008734.6608196486,1000764.9153778685,1008107.1457554816,1025248.4082409919
2023-01-12,1008892.5463806838,1000833.2754599759,1010934.1908548352,1031795.8068875177
2023-01-13,1008994.6795205,1001300.0374570233,1015143.9672479626,1035195.1116780549
2023-01-17,1018188.2406890638,1001262.3330452342,1013543.3592382427,1023372.5191741372
2023-01-18,1014738.3029180524,1000461.9594784159,1006132.7071081158,1004846.3316425222
2023-01-19,1013005.7161337965,1000008.2439695201,1007016.9963691708,997229.2530241093
2023-01-20,1023529.0680852277,1000692.0446467052,1015560.4366847989,1007216.1549260626
2023-01-23,1041047.8236135327,1001755.0765020519,1029167.100318527,1014883.570038634
2023-01-24,1043158.6281946027,1001954.874150665,1032566.942226219,1018034.2573439707
2023-01-25,1042958.0410241467,1002281.2517405087,1030121.2335321424,1018332.3861349012
2023-01-26,1071557.62264109,1003704.7608050687,1044690.1161884305,1024536.1527428498
2023-01-27,1104771.5703341747,1005184.8221909252,1056961.2731536862,1025401.303868448
2023-01-30,1079353.0973310466,1003822.9662240368,1039144.952611923,1017525.1160833823
2023-01-31,1094181.930177177,1004802.9339630123,1047331.6669162747,1028659.3835535938
2023-02-01,1112758.8267556224,1005557.4523275676,1059903.334884071,1028868.2741101491
2023-02-02,1138195.0211437452,1006812.3434870907,1145807.000688362,1027690.7302222081
2023-02-03,1149835.999829399,1006674.0704485318,1151979.1124628065,1023830.0272158931
2023-02-06,1154569.2060783613,1007230.4120502165,1146343.3368623732,1022774.0217951124
2023-02-07,1166304.0719202955,1008169.0457419584,1172544.7475337752,1030791.5525696309
2023-02-08,1170798.9337234874,1008036.7683530424,1144736.5842987993,1024524.1285686011
2023-02-09,1183773.8878846967,1007490.579275398,1124732.3996159532,1017005.7189094638
2023-02-10,1156555.2514997632,1006362.2161472853,1115374.8204590776,1022117.6433420085
2023-02-13,1158004.4688375928,1006937.2196714095,1138979.2217137315,1033484.6139491503
2023-02-14,1198493.798820732,1008923.0413057326,1141829.1296746233,1028756.873672257
2023-02-15,1219682.632293266,1010105.2505601423,1141958.0653645494,1029927.2266324615
2023-02-16,1176910.302646553,1006975.7772172391,1120909.2497250536,1016914.3587619863
2023-02-17,1193305.699013481,1007798.6283824691,1118757.0301339128,1020832.7070742578
2023-02-21,1144021.1142866132,1004398.3729698178,1100166.7441117265,999795.35326965
2023-02-22,1157144.6362313803,1004442.9921663586,1096772.7735268571,997245.2852564409
2023-02-23,1163220.859623905,1005205.3742580333,1109474.8176877,1000529.2994350643
2023-02-24,1137199.0542248266,1004654.0315384135,1101260.9072186449,990359.5593540943
2023-02-27,1174011.0570358695,1006984.1964883188,1105178.235820482,992537.4673859009
2023-02-28,1166926.634674381,1007349.4750072015,1118771.652694414,985524.3088133307
2023-03-01,1150454.236989536,1005971.0678606944,1107396.5787121751,985679.4442379508
2023-03-02,1122627.861322254,1003211.8976471476,1109666.1855351427,995992.2955692922
2023-03-03,1159966.747608959,1006666.1998866802,1153832.5470578172,1007683.3294608418
2023-03-06,1157941.6065078848,1005208.0087000652,1156735.2018258073,1008904.7262195725
2023-03-07,1134404.8814839744,1001188.013026649,1140981.0843674638,991552.7818221834
2023-03-08,1124556.2883759802,999730.4708421779,1145326.5384423234,989800.5531355923
2023-03-09,1095350.0746695823,992298.3002429575,1114337.6707951524,973397.4575472971
2023-03-10,1086068.875140682,994063.5357917399,1110457.4385754564,962979.3357492493
2023-03-13,1099724.2018776892,992735.8132389371,1113033.2281643846,960248.1978179425
2023-03-14,1135194.2421261633,997441.2704984279,1159035.5068623521,970395.952521487
2023-03-15,1138268.305217121,992397.7906385188,1155399.6809441545,961920.9726472434
2023-03-16,1170601.9236888846,995955.8502976832,1187554.4685055711,973146.7181489939
2023-03-17,1165234.3684553488,990942.0223306345,1153148.9124295213,961541.0323177975
2023-03-20,1164906.785669735,992531.6368228373,1167152.5277020433,973087.2456400874
2023-03-21,1194186.4500899313,999275.6311054835,1189907.6112343767,982624.1840802055
2023-03-22,1179564.9150830116,994458.7883405604,1174341.024007509,966614.8801985545
2023-03-23,1195420.2340979346,994561.3109881587,1188478.199247072,968882.498000981
2023-03-24,1201032.8722003668,992099.7873380275,1190414.4328610399,972874.4649095105
2023-03-27,1188862.111602573,995738.5228088299,1185573.216201494,978745.6805806402
2023-03-28,1181870.981761234,995146.6934836576,1179556.641025255,977604.0323893531
2023-03-29,1205937.6174587898,997549.2732603984,1199709.3568436601,987362.1802704284
2023-03-30,1219480.8904681357,998165.9465356136,1209361.8728501298,991630.3495344935
2023-03-31,1244252.9351764563,1003252.9200457988,1229231.354161928,1004157.888724755
2023-04-03,1237956.639939266,999675.8090921245,1234934.361898134,1014026.1992610791
2023-04-04,1234526.0966150397,997816.3248613734,1232623.0561196306,1008027.6688037869
2023-04-05,1218797.4929341543,995525.389218368,1219702.0855767229,1010452.1902917525
2023-04-06,1240092.6847724647,995524.902068023,1232812.1963116624,1010529.7580040625
2023-04-10,1230498.1101239356,995991.2118701624,1225839.6380478838,1013584.7234516549
2023-04-11,1209422.8354010428,996561.7630527185,1221295.7258240678,1016550.3327808108
2023-04-12,1207510.6216197393,993771.5506411813,1218398.6357743242,1015394.8332123252
2023-04-13,1236352.8037509937,997614.3831565622,1246923.770429323,1026958.9059698965
2023-04-14,1227209.0559301928,1007581.8482311091,1270878.2638279893,1022636.6868637429
2023-04-17,1234617.2816668109,1009496.5066799311,1267659.2128960588,1025675.9737311874
2023-04-18,1238035.0752039507,1010435.8022198938,1273205.3509690263,1025357.5688817201
2023-04-19,1240961.7212324694,1009260.2078408655,1270870.9448620775,1022954.8559450876
2023-04-20,1229329.4835768298,1003291.3263473276,1259499.5297696092,1019623.4523738372
2023-04-21,1225250.7354078845,1004883.3136510614,1254809.1594769456,1020297.6313201919
2023-04-24,1214938.6525106982,1004127.286265777,1255507.2001072862,1022302.6034341279
2023-04-25,1190984.8028593615,998454.833906379,1230864.5421444871,1011904.0503902492
2023-04-26,1247005.4330092028,993822.8129271385,1231618.422767351,1004994.5119075279
2023-04-27,1288485.578438814,1000348.1531685708,1316225.8862397172,1020816.6748419263
2023-04-28,1299665.502009447,1002321.6076063531,1327164.3969799974,1029025.1777956883
2023-05-01,1299734.1480036334,1003996.0825063166,1343035.9857422807,1027623.0647710438
2023-05-02,1293925.281338747,1000774.5680093607,1324597.4891488054,1016542.5524327676
2023-05-03,1287171.6116705493,997223.748983497,1309441.363506029,1008385.5648137768
2023-05-04,1285012.0437651232,994310.8269524683,1292663.457381914,999739.476224612
2023-05-05,1317898.4932528094,1002046.7881911081,1317016.404111574,1016236.1717575488
2023-05-08,1314241.2878580645,1003750.9927596429,1319877.1198975542,1014555.6165802046
2023-05-09,1304414.9079191322,1002026.1472589485,1313342.919206331,1012838.9888801144
2023-05-10,1323120.6831762427,1002888.3674727624,1317630.616012285,1011919.1395500909
2023-05-11,1317134.0370962257,1001951.6298509971,1322833.4276005724,1005225.0931313556
2023-05-12,1310986.7375509376,997022.4736837607,1311138.9553791978,1004956.7890079243
2023-05-15,1314641.3353864783,998567.9571003638,1325965.6706635454,1006404.7589323994
2023-05-16,1321668.1068021888,997650.9808995352,1324502.0886284807,996250.9331997
2023-05-17,1335052.9986326331,1007501.4859189902,1346009.4480339983,1008582.6669642059
2023-05-18,1358082.755262577,1011411.7678022375,1367661.4431778886,1012057.4175539506
2023-05-19,1356046.18617078,1010782.521102973,1363337.3148400285,1008759.4930560983
2023-05-22,1362039.5944425697,1012106.4391851492,1364799.8357750871,1004532.9958076891
2023-05-23,1339002.2510854835,1008191.9935933828,1350702.5165020921,997559.7999318866
2023-05-24,1335739.3741094703,1005670.319833701,1354121.1503140428,989846.5279194842
2023-05-25,1397994.4520132178,1005821.5483942326,1383615.046378801,988782.0937883233
