date,a2c,ppo,td3,dji
2023-01-03,1000000.0,1000000.0,1000000.0,1000000.0
2023-01-04,1000531.6779918424,999990.9201655426,1001447.14401474,1004025.7406920807
2023-01-05,999336.1422761565,999863.7084734574,1000209.5339172364,993774.424840718
2023-01-06,1004602.1996323615,1000138.3332016525,1005189.2051918032,1014915.2808511135
2023-01-09,1004213.3164113942,1000211.6629701004,1007158.8737548828,1011506.309567553
2023-01-10,1004586.7910101691,1000323.3394126205,1007541.5658485412,1017133.1515796877
2023-01-11,1011269.7227514248,1000996.0243898926,1016343.1704826355,1025248.4082409919
2023-01-12,1016694.769305147,1000912.0266797639,1023173.6410926818,1031795.8068875177
2023-01-13,1020715.691398138,1001381.2377119447,1024776.1229354858,1035195.1116780549
2023-01-17,1020119.4329456404,1001193.629581009,1028292.657558441,1023372.5191741372
2023-01-18,1009839.3293134135,1000827.804605774,1021905.1308868406,1004846.3316425222
2023-01-19,1002970.6855372638,1001244.5760996247,1017715.5831848143,997229.2530241093
2023-01-20,1016437.8909462127,1003083.3929365007,1040163.6268859862,1007216.1549260626
2023-01-23,1034283.5757269592,1004269.2864150087,1063166.1645492553,1014883.570038634
2023-01-24,1039012.6912496833,1003846.8727791063,1061949.0514549254,1018034.2573439707
2023-01-25,1037650.4228440608,1002865.494344536,1064463.7421195982,1018332.3861349012
2023-01-26,1057773.7600235424,1004218.1745938798,1099230.8059471129,1024536.1527428498
2023-01-27,1070536.8943925533,1005391.4001570893,1134194.866294937,1025401.303868448
2023-01-30,1047745.4148214626,1003605.4404208986,1103060.4519882964,1017525.1160833823
2023-01-31,1065822.617463995,1004853.351333275,1128100.1383286284,1028659.3835535938
2023-02-01,1083155.6928179224,1005844.441845276,1151992.1863632964,1028868.2741101491
2023-02-02,1109248.4065326785,1010806.258707863,1185045.386482315,1027690.7302222081
2023-02-03,1107002.6972382907,1010330.1289710924,1158748.4646988676,1023830.0272158931
2023-02-06,1107373.4651495228,1008666.8516993257,1161901.7016678618,1022774.0217951124
2023-02-07,1136764.7485142956,1012485.2349477159,1188301.2217942046,1030791.5525696309
2023-02-08,1133644.2396738701,1006457.8793287583,1177683.706214981,1024524.1285686011
2023-02-09,1132879.5264771462,1003012.2099250413,1173447.5599289702,1017005.7189094638
2023-02-10,1115862.4672804985,1002915.7321531983,1151839.5008621977,1022117.6433420085
2023-02-13,1130159.464817295,1004046.4547832261,1154954.8856278227,1033484.6139491503
2023-02-14,1157950.7582300282,1003990.5999100038,1184624.591117935,1028756.873672257
2023-02-15,1167836.6211712228,1006467.6482015076,1199903.599220352,1029927.2266324615
2023-02-16,1128862.3935579034,1004467.0082568132,1158350.9005509184,1016914.3587619863
2023-02-17,1132582.7330803107,1003212.1591537095,1163798.6695481108,1020832.7070742578
2023-02-21,1093826.4683147697,999159.0012508623,1122198.153251724,999795.35326965
2023-02-22,1099875.1237046355,998988.8289936677,1129579.7721939848,997245.2852564409
2023-02-23,1110593.6481196212,998729.8135735857,1134345.4857102202,1000529.2994350643
2023-02-24,1085586.9557053223,996354.4741289598,1100797.9718552397,990359.5593540943
2023-02-27,1114043.066121216,997775.1560033419,1124587.234062271,992537.4673859009
2023-02-28,1107487.278793518,997995.4738329623,1122801.4022904204,985524.3088133307
2023-03-01,1092518.9199359359,997213.9921557009,1118103.5549393462,985679.4442379508
2023-03-02,1072733.005887047,998765.0497833941,1109894.756919937,995992.2955692922
2023-03-03,1103154.2738828012,1003326.5148841556,1140230.907386856,1007683.3294608418
2023-03-06,1098777.430900692,1005945.5085845722,1128123.3624192046,1008904.7262195725
2023-03-07,1076085.4129474603,1002516.9995369877,1106501.5800247954,991552.7818221834
2023-03-08,1062915.4372859078,1003341.9094038929,1097238.2424851225,989800.5531355923
2023-03-09,1033798.4185688744,998160.1720880894,1061560.6724015044,973397.4575472971
2023-03-10,1026544.3631725998,996040.989299294,1056207.6972580717,962979.3357492493
2023-03-13,1039543.6229585571,996964.6384660038,1060411.486671524,960248.1978179425
2023-03-14,1077148.2627478486,1002395.128134583,1091249.493171768,970395.952521487
2023-03-15,1077162.0798690033,1003443.0171902166,1077069.728706436,961920.9726472434
